INPUT_TABLE,,,,,
Variable ID,,,,,
51,,,,,
,,,,,
region,supplysector,subsector,stub.technology,year,CO2
AK,base load generation,coal,coal_base_conv pul_slow_retire,2035,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2040,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2045,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2050,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2055,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2060,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2065,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2070,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2075,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2080,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2085,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2090,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2095,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_slow_retire,2100,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,1975,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,1990,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2005,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2010,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2015,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2020,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2025,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2030,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2035,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2040,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2045,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2050,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2055,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2060,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2065,CO2_ELEC
