CT,trn_pass_road_LDV_4W,Large Car and Truck,NG,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
CT,trn_pass_road_LDV_4W,Mini Car,FCEV,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
CT,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
CT,trn_pass_road_LDV_4W,Mini Car,Liquids,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
CT,trn_pass_road_LDV_4W,Mini Car,NG,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Car,BEV,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Car,FCEV,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Car,Liquids,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Car,NG,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Large Car and Truck,NG,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Mini Car,FCEV,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Mini Car,Liquids,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Mini Car,NG,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
DE,trn_pass_road_LDV_4W,Car,BEV,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Car,FCEV,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Car,Liquids,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Car,NG,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Large Car and Truck,NG,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Mini Car,FCEV,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Mini Car,Liquids,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
DE,trn_pass_road_LDV_4W,Mini Car,NG,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
MA,trn_pass_road_LDV_4W,Car,BEV,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Car,FCEV,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Car,Liquids,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Car,NG,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Large Car and Truck,NG,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Mini Car,FCEV,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Mini Car,Liquids,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Mini Car,NG,2025,LDV-EV-4W_New_Reg70-2025,2025,0.28
MA,trn_pass_road_LDV_4W,Car,BEV,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
MA,trn_pass_road_LDV_4W,Car,FCEV,2030,LDV-EV-4W_New_Reg70-2030,2030,0.68
