########## Scenario Component Metadata ##########
#Scenario component type: Market Share
#Type: HDV-EV
#Subset: trn_freight_road : Medium truck : BEV : million ton-km;trn_freight_road : Medium truck : FCEV : million ton-km;
#Superset: trn_freight_road : Medium truck : BEV : million ton-km;trn_freight_road : Medium truck : FCEV : million ton-km;trn_freight_road : Medium truck : Hybrid Liquids : million ton-km;trn_freight_road : Medium truck : Liquids : million ton-km;trn_freight_road : Medium truck : NG : million ton-km;
#Applied to: New Purchases
#Treatment: Across Selected
#Constraint: Lower
#Policy name: HDV-EV_New_Reg
#Market name: HDV-EV_New_Reg_Mkt24
#Regions: CA,CO,CT,DC,HI,MA,MD,ME,NC,NJ,NY,OR,PA,RI,VT,WA
#Table data:2025  ,  0.150
#Table data:2030  ,  0.320
#Table data:2035  ,  0.490
#Table data:2040  ,  0.660
#Table data:2045  ,  0.830
#Table data:2050  , 1.0
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdActivate

region,policy,market,type,year,constrained
NJ,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
NJ,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
NJ,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
NJ,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
NJ,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
NJ,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
NY,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
NY,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
NY,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
NY,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
NY,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
NY,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
OR,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
OR,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
OR,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
OR,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
OR,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
OR,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
PA,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
PA,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
PA,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
PA,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
PA,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
PA,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
RI,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
RI,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
RI,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
RI,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
RI,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
RI,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
VT,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
VT,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
VT,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
VT,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
VT,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
VT,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
WA,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
WA,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
WA,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
WA,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
WA,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
WA,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1

INPUT_TABLE
Variable ID
GLIMPSEPFStdAdjCoef

region,sector,subsector,tech,year,policy,adjcoef-year,adjcoef
CA,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
CA,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
CA,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
CA,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
CA,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
CA,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
CA,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
CA,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
CA,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
CA,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
CA,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
CA,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
CA,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
CA,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
CA,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
CA,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
CA,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
CA,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
CA,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
CA,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
CA,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
CA,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
CA,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
CA,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
CA,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
CA,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
CA,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
CA,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
CA,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
CA,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
CO,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
CO,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
CO,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
CO,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
CO,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
CO,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
CO,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
CO,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
CO,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
CO,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
CO,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
CO,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
CO,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
CO,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
CO,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
CO,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
CO,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
CO,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
CO,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
CO,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
CO,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
CO,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
CO,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
CO,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
CO,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
CO,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
CO,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
CO,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
CO,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
CO,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
CT,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
CT,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
CT,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
CT,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
CT,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
CT,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
CT,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
CT,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
CT,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
CT,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
CT,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
CT,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
CT,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
CT,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
CT,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
CT,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
CT,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
CT,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
CT,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
CT,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
CT,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
CT,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
CT,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
CT,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
CT,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
CT,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
CT,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
CT,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
CT,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
CT,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
DC,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
DC,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
DC,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
DC,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
DC,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
DC,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
DC,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
DC,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
DC,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
DC,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
DC,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
DC,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
DC,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
DC,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
DC,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
DC,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
DC,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
DC,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
DC,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
DC,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
DC,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
DC,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
DC,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
DC,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
DC,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
DC,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
DC,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
DC,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
DC,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
DC,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
HI,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
HI,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
HI,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
HI,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
HI,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
HI,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
HI,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
HI,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
HI,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
