########## Scenario Component Metadata ##########
#Scenario component type: Market Share
#Type: HDV-EV (light)
#Subset: trn_freight_road : Light truck : BEV : million ton-km : Trn-Onroad;trn_freight_road : Light truck : FCEV : million ton-km : Trn-Onroad;
#Superset: trn_freight_road : Light truck : BEV : million ton-km : Trn-Onroad;trn_freight_road : Light truck : FCEV : million ton-km : Trn-Onroad;trn_freight_road : Light truck : Hybrid Liquids : million ton-km : Trn-Onroad;trn_freight_road : Light truck : Liquids : million ton-km : Trn-Onroad;trn_freight_road : Light truck : NG : million ton-km : Trn-Onroad;
#Applied to: New Purchases
#Treatment: Each Selected Region
#Constraint: Lower
#Policy name: HDV-EV-light_New_Reg_Ea
#Market name: HDV-EV-light_New_Reg_Ea_Mkt
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2025 , 0.167
#Table data:2030 , 0.333
#Table data:2035 , 0.500
#Table data:2040 , 0.667
#Table data:2045 , 0.833
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdActivate

region,policy,market,type,year,constrained
CT,CT_HDV-EV-light_New_Reg_Ea-2035,CT_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
CT,CT_HDV-EV-light_New_Reg_Ea-2040,CT_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
CT,CT_HDV-EV-light_New_Reg_Ea-2045,CT_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
DC,DC_HDV-EV-light_New_Reg_Ea-2025,DC_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
DC,DC_HDV-EV-light_New_Reg_Ea-2030,DC_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
DC,DC_HDV-EV-light_New_Reg_Ea-2035,DC_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
DC,DC_HDV-EV-light_New_Reg_Ea-2040,DC_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
DC,DC_HDV-EV-light_New_Reg_Ea-2045,DC_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
DE,DE_HDV-EV-light_New_Reg_Ea-2025,DE_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
DE,DE_HDV-EV-light_New_Reg_Ea-2030,DE_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
DE,DE_HDV-EV-light_New_Reg_Ea-2035,DE_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
DE,DE_HDV-EV-light_New_Reg_Ea-2040,DE_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
DE,DE_HDV-EV-light_New_Reg_Ea-2045,DE_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
FL,FL_HDV-EV-light_New_Reg_Ea-2025,FL_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
FL,FL_HDV-EV-light_New_Reg_Ea-2030,FL_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
FL,FL_HDV-EV-light_New_Reg_Ea-2035,FL_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
FL,FL_HDV-EV-light_New_Reg_Ea-2040,FL_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
FL,FL_HDV-EV-light_New_Reg_Ea-2045,FL_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
GA,GA_HDV-EV-light_New_Reg_Ea-2025,GA_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
GA,GA_HDV-EV-light_New_Reg_Ea-2030,GA_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
GA,GA_HDV-EV-light_New_Reg_Ea-2035,GA_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
GA,GA_HDV-EV-light_New_Reg_Ea-2040,GA_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
GA,GA_HDV-EV-light_New_Reg_Ea-2045,GA_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
HI,HI_HDV-EV-light_New_Reg_Ea-2025,HI_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
HI,HI_HDV-EV-light_New_Reg_Ea-2030,HI_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
HI,HI_HDV-EV-light_New_Reg_Ea-2035,HI_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
HI,HI_HDV-EV-light_New_Reg_Ea-2040,HI_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
HI,HI_HDV-EV-light_New_Reg_Ea-2045,HI_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
IA,IA_HDV-EV-light_New_Reg_Ea-2025,IA_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
IA,IA_HDV-EV-light_New_Reg_Ea-2030,IA_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
IA,IA_HDV-EV-light_New_Reg_Ea-2035,IA_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
IA,IA_HDV-EV-light_New_Reg_Ea-2040,IA_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
IA,IA_HDV-EV-light_New_Reg_Ea-2045,IA_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
ID,ID_HDV-EV-light_New_Reg_Ea-2025,ID_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
ID,ID_HDV-EV-light_New_Reg_Ea-2030,ID_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
ID,ID_HDV-EV-light_New_Reg_Ea-2035,ID_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
ID,ID_HDV-EV-light_New_Reg_Ea-2040,ID_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
ID,ID_HDV-EV-light_New_Reg_Ea-2045,ID_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
IL,IL_HDV-EV-light_New_Reg_Ea-2025,IL_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
IL,IL_HDV-EV-light_New_Reg_Ea-2030,IL_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
IL,IL_HDV-EV-light_New_Reg_Ea-2035,IL_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
IL,IL_HDV-EV-light_New_Reg_Ea-2040,IL_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
IL,IL_HDV-EV-light_New_Reg_Ea-2045,IL_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
IN,IN_HDV-EV-light_New_Reg_Ea-2025,IN_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
IN,IN_HDV-EV-light_New_Reg_Ea-2030,IN_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
IN,IN_HDV-EV-light_New_Reg_Ea-2035,IN_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
IN,IN_HDV-EV-light_New_Reg_Ea-2040,IN_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
IN,IN_HDV-EV-light_New_Reg_Ea-2045,IN_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
KS,KS_HDV-EV-light_New_Reg_Ea-2025,KS_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
KS,KS_HDV-EV-light_New_Reg_Ea-2030,KS_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
KS,KS_HDV-EV-light_New_Reg_Ea-2035,KS_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
KS,KS_HDV-EV-light_New_Reg_Ea-2040,KS_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
KS,KS_HDV-EV-light_New_Reg_Ea-2045,KS_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
KY,KY_HDV-EV-light_New_Reg_Ea-2025,KY_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
KY,KY_HDV-EV-light_New_Reg_Ea-2030,KY_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
KY,KY_HDV-EV-light_New_Reg_Ea-2035,KY_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
KY,KY_HDV-EV-light_New_Reg_Ea-2040,KY_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
KY,KY_HDV-EV-light_New_Reg_Ea-2045,KY_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
LA,LA_HDV-EV-light_New_Reg_Ea-2025,LA_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
LA,LA_HDV-EV-light_New_Reg_Ea-2030,LA_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
LA,LA_HDV-EV-light_New_Reg_Ea-2035,LA_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
LA,LA_HDV-EV-light_New_Reg_Ea-2040,LA_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
LA,LA_HDV-EV-light_New_Reg_Ea-2045,LA_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
MA,MA_HDV-EV-light_New_Reg_Ea-2025,MA_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
MA,MA_HDV-EV-light_New_Reg_Ea-2030,MA_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
MA,MA_HDV-EV-light_New_Reg_Ea-2035,MA_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
MA,MA_HDV-EV-light_New_Reg_Ea-2040,MA_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
MA,MA_HDV-EV-light_New_Reg_Ea-2045,MA_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
