scenario,created,run,version,#warn,#err,unsolved,completed?,solution(sec),total(sec),components
Test2,21.08.18,21.08.18,code base version 5.4 revision gcam-v5.4,0,3,,true,1583.73,1966.19,TEST-LDV-EV-4W_All_AK.csv; TEST-LDV-EV-4W_All_AL_Ea.csv; TEST-LDV-EV-4W_All_CACO.csv; TEST-LDV-EV-4W_All_CTDC_Ea.csv; TEST-LDV-EV-4W_New_AR.csv; TEST-LDV-EV-4W_New_AZ_Ea.csv; TEST-LDV-EV-4W_New_DE.csv; TEST-LDV-EV-4W_New_DEFL.csv; TEST-LDV-EV-4W_New_GAHI_Ea.csv; TEST-LED_All_IA_Ea.csv; TEST-LED_All_ID.csv; TEST-LED_All_KSKY.csv; TEST-LED_All_LAMA_Ea.csv; TEST-LED_New_IL.csv; TEST-LED_New_IN_Ea.csv; TEST-LED_New_MDME.csv; TEST-LED_New_MIMN_Ea.csv;
Test2b,21.08.19,21.08.19,code base version 5.4 revision gcam-v5.4,0,3,,true,1692.15,2082.6,TEST2-LDV-EV-CarConly_New_DEFL-acr.csv;
TEST3,21.08.18,21.08.18,code base version 5.4 revision gcam-v5.4,0,3,,true,1556.29,8443.52,
Test3b,21.08.19,21.08.19,code base version 5.4 revision gcam-v5.4,0,3,,true,1680.72,2100.01,LDV-EV-CarOnly_New_AKAL-acr.csv;
TEST4,21.08.19,21.08.19,code base version 5.4 revision gcam-v5.4,0,3,,true,1484.8,1857.47,
TEST5,21.08.19,21.08.19,code base version 5.4 revision gcam-v5.4,0,3,,true,2065.39,8216.79,
TEST6,21.08.19,21.08.19,code base version 5.4 revision gcam-v5.4,0,3,,true,2103.02,2496.06,
Test7,21.08.20,21.08.20,code base version 5.4 revision gcam-v5.4,0,3,,true,1441.09,1837.49,LED_New_all-states_Ea.csv;
Test8,21.08.20,21.08.20,code base version 5.4 revision gcam-v5.4,0,3,,true,1487.44,1883.61,LED_Stock_all-states_Ea.csv;
Test9,21.08.20,21.08.20,code base version 5.4 revision gcam-v5.4,0,3,,true,2140.16,2541.62,LDV-EV-4W_New_all-states_Ea.csv;
